,time_s3,open_s3,high_s3,low_s3,close_s3,vol_s3,time_s2,open_s2,high_s2,low_s2,close_s2,vol_s2,time_s1,open_s1,high_s1,low_s1,close_s1,vol_s1,time,open,high,low,close,vol
3421,2023.07.06 14:15,31171.3,31194.4,31154.0,31180.0,572.896,2023.07.06 14:30,31180.0,31185.7,31052.3,31052.3,1311.638,2023.07.06 14:45,31052.3,31090.0,30672.6,30832.9,12296.476,2023.07.06 15:00,30832.9,30871.0,30590.2,30739.9,7174.847
3422,2023.07.06 14:30,31180.0,31185.7,31052.3,31052.3,1311.638,2023.07.06 14:45,31052.3,31090.0,30672.6,30832.9,12296.476,2023.07.06 15:00,30832.9,30871.0,30590.2,30739.9,7174.847,2023.07.06 15:15,30739.9,30753.2,30639.0,30695.0,2819.458
3423,2023.07.06 14:45,31052.3,31090.0,30672.6,30832.9,12296.476,2023.07.06 15:00,30832.9,30871.0,30590.2,30739.9,7174.847,2023.07.06 15:15,30739.9,30753.2,30639.0,30695.0,2819.458,2023.07.06 15:30,30695.0,30705.1,30472.0,30575.2,6531.277
3424,2023.07.06 15:00,30832.9,30871.0,30590.2,30739.9,7174.847,2023.07.06 15:15,30739.9,30753.2,30639.0,30695.0,2819.458,2023.07.06 15:30,30695.0,30705.1,30472.0,30575.2,6531.277,2023.07.06 15:45,30575.2,30631.0,30501.0,30586.4,1799.575
3425,2023.07.06 15:15,30739.9,30753.2,30639.0,30695.0,2819.458,2023.07.06 15:30,30695.0,30705.1,30472.0,30575.2,6531.277,2023.07.06 15:45,30575.2,30631.0,30501.0,30586.4,1799.575,2023.07.06 16:00,30586.4,30652.0,30565.1,30607.2,1846.845
3426,2023.07.06 15:30,30695.0,30705.1,30472.0,30575.2,6531.277,2023.07.06 15:45,30575.2,30631.0,30501.0,30586.4,1799.575,2023.07.06 16:00,30586.4,30652.0,30565.1,30607.2,1846.845,2023.07.06 16:15,30607.2,30623.0,30565.0,30580.0,1179.171
3427,2023.07.06 15:45,30575.2,30631.0,30501.0,30586.4,1799.575,2023.07.06 16:00,30586.4,30652.0,30565.1,30607.2,1846.845,2023.07.06 16:15,30607.2,30623.0,30565.0,30580.0,1179.171,2023.07.06 16:30,30580.0,30585.5,30349.8,30451.9,4067.117
3428,2023.07.06 16:00,30586.4,30652.0,30565.1,30607.2,1846.845,2023.07.06 16:15,30607.2,30623.0,30565.0,30580.0,1179.171,2023.07.06 16:30,30580.0,30585.5,30349.8,30451.9,4067.117,2023.07.06 16:45,30451.9,30533.0,30272.1,30353.7,6299.408
3429,2023.07.06 16:15,30607.2,30623.0,30565.0,30580.0,1179.171,2023.07.06 16:30,30580.0,30585.5,30349.8,30451.9,4067.117,2023.07.06 16:45,30451.9,30533.0,30272.1,30353.7,6299.408,2023.07.06 17:00,30353.7,30415.6,30139.2,30300.2,9874.686
3430,2023.07.06 16:30,30580.0,30585.5,30349.8,30451.9,4067.117,2023.07.06 16:45,30451.9,30533.0,30272.1,30353.7,6299.408,2023.07.06 17:00,30353.7,30415.6,30139.2,30300.2,9874.686,2023.07.06 17:15,30300.2,30300.2,30011.2,30020.5,8609.895
